objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
22,E06000022,"""Bath and North East Somerset""",2020,"""South West""",146439,1226,0.84,25140,17.17,16175,11.05,20828,14.22,5472,3.74,24095,16.45,48910,33.4,5819,3.97,551.1
22,E06000022,"""Bath and North East Somerset""",2025,"""South West""",146439,"1,265",0.86,25140,17.17,16175,11.05,20828,14.22,5472,3.74,24095,16.45,48910,33.4,5819,3.97,551.1
22,E06000022,"""Bath and North East Somerset""",2030,"""South West""",146439,"1,311",0.9,25140,17.17,16175,11.05,20828,14.22,5472,3.74,24095,16.45,48910,33.4,5819,3.97,551.1
22,E06000022,"""Bath and North East Somerset""",2035,"""South West""",146439,"1,342",0.92,25140,17.17,16175,11.05,20828,14.22,5472,3.74,24095,16.45,48910,33.4,5819,3.97,554.1
22,E06000022,"""Bath and North East Somerset""",2040,"""South West""",146439,"1,359",0.93,25140,17.17,16175,11.05,20828,14.22,5472,3.74,24095,16.45,48910,33.4,5819,3.97,551.1
23,E06000023,"""Bristol, City of""",2020,"""South West""",349653,3194,0.91,70478,20.16,41487,11.87,44592,12.75,10260,2.93,51006,14.59,114621,32.78,17209,4.92,553.8
23,E06000023,"""Bristol, City of""",2025,"""South West""",349653,"3,308",0.95,70478,20.16,41487,11.87,44592,12.75,10260,2.93,51006,14.59,114621,32.78,17209,4.92,553.8
23,E06000023,"""Bristol, City of""",2030,"""South West""",349653,"3,422",0.98,70478,20.16,41487,11.87,44592,12.75,10260,2.93,51006,14.59,114621,32.78,17209,4.92,553.8
23,E06000023,"""Bristol, City of""",2035,"""South West""",349653,"3,530",1.01,70478,20.16,41487,11.87,44592,12.75,10260,2.93,51006,14.59,114621,32.78,17209,4.92,572.2
23,E06000023,"""Bristol, City of""",2040,"""South West""",349653,"3,612",1.03,70478,20.16,41487,11.87,44592,12.75,10260,2.93,51006,14.59,114621,32.78,17209,4.92,553.8
80,E07000040,"""East Devon""",2020,"""South West""",112002,752,0.67,23597,21.07,14651,13.08,19009,16.97,4625,4.13,12708,11.35,32573,29.08,4839,4.32,479
80,E07000040,"""East Devon""",2025,"""South West""",112002,784,0.7,23597,21.07,14651,13.08,19009,16.97,4625,4.13,12708,11.35,32573,29.08,4839,4.32,479
80,E07000040,"""East Devon""",2030,"""South West""",112002,809,0.72,23597,21.07,14651,13.08,19009,16.97,4625,4.13,12708,11.35,32573,29.08,4839,4.32,479
80,E07000040,"""East Devon""",2035,"""South West""",112002,822,0.73,23597,21.07,14651,13.08,19009,16.97,4625,4.13,12708,11.35,32573,29.08,4839,4.32,496.1
80,E07000040,"""East Devon""",2040,"""South West""",112002,840,0.75,23597,21.07,14651,13.08,19009,16.97,4625,4.13,12708,11.35,32573,29.08,4839,4.32,479
89,E07000049,"""East Dorset""",2020,"""South West""",73557,396,0.54,15830,21.52,9897,13.45,12047,16.38,3884,5.28,8505,11.56,20364,27.68,3030,4.12,491.2
89,E07000049,"""East Dorset""",2025,"""South West""",73557,392,0.53,15830,21.52,9897,13.45,12047,16.38,3884,5.28,8505,11.56,20364,27.68,3030,4.12,491.2
89,E07000049,"""East Dorset""",2030,"""South West""",73557,383,0.52,15830,21.52,9897,13.45,12047,16.38,3884,5.28,8505,11.56,20364,27.68,3030,4.12,491.2
89,E07000049,"""East Dorset""",2035,"""South West""",73557,377,0.51,15830,21.52,9897,13.45,12047,16.38,3884,5.28,8505,11.56,20364,27.68,3030,4.12,407.6
89,E07000049,"""East Dorset""",2040,"""South West""",73557,372,0.51,15830,21.52,9897,13.45,12047,16.38,3884,5.28,8505,11.56,20364,27.68,3030,4.12,491.2
113,E07000080,"""Forest of Dean""",2020,"""South West""",67947,491,0.72,16664,24.52,9750,14.35,11416,16.8,3045,4.48,8128,11.96,16285,23.97,2659,3.91,537.1
113,E07000080,"""Forest of Dean""",2025,"""South West""",67947,489,0.72,16664,24.52,9750,14.35,11416,16.8,3045,4.48,8128,11.96,16285,23.97,2659,3.91,537.1
113,E07000080,"""Forest of Dean""",2030,"""South West""",67947,486,0.72,16664,24.52,9750,14.35,11416,16.8,3045,4.48,8128,11.96,16285,23.97,2659,3.91,537.1
113,E07000080,"""Forest of Dean""",2035,"""South West""",67947,483,0.71,16664,24.52,9750,14.35,11416,16.8,3045,4.48,8128,11.96,16285,23.97,2659,3.91,641.5
174,E07000080,"""Forest of Dean""",2040,"""South West""",67947,489,0.72,16664,24.52,9750,14.35,11416,16.8,3045,4.48,8128,11.96,16285,23.97,2659,3.91,537.1
52,E06000053,"""Isles of Scilly""",2020,"""South West""",1857,14,0.75,264,14.22,201,10.82,309,16.64,78,4.2,304,16.37,613,33.01,88,4.74,482.6
52,E06000053,"""Isles of Scilly""",2025,"""South West""",1857,9,0.48,264,14.22,201,10.82,309,16.64,78,4.2,304,16.37,613,33.01,88,4.74,482.6
52,E06000053,"""Isles of Scilly""",2030,"""South West""",1857,9,0.48,264,14.22,201,10.82,309,16.64,78,4.2,304,16.37,613,33.01,88,4.74,482.6
52,E06000053,"""Isles of Scilly""",2035,"""South West""",1857,5,0.27,264,14.22,201,10.82,309,16.64,78,4.2,304,16.37,613,33.01,88,4.74,481.7
313,E06000053,"""Isles of Scilly""",2040,"""South West""",1857,7,0.38,264,14.22,201,10.82,309,16.64,78,4.2,304,16.37,613,33.01,88,4.74,482.6
82,E07000042,"""Mid Devon""",2020,"""South West""",63200,451,0.71,14323,22.66,8723,13.8,10796,17.08,2420,3.83,7648,12.1,16716,26.45,2574,4.07,510.2
82,E07000042,"""Mid Devon""",2025,"""South West""",63200,467,0.74,14323,22.66,8723,13.8,10796,17.08,2420,3.83,7648,12.1,16716,26.45,2574,4.07,510.2
82,E07000042,"""Mid Devon""",2030,"""South West""",63200,478,0.76,14323,22.66,8723,13.8,10796,17.08,2420,3.83,7648,12.1,16716,26.45,2574,4.07,510.2
82,E07000042,"""Mid Devon""",2035,"""South West""",63200,483,0.76,14323,22.66,8723,13.8,10796,17.08,2420,3.83,7648,12.1,16716,26.45,2574,4.07,616.7
221,E07000042,"""Mid Devon""",2040,"""South West""",63200,493,0.78,14323,22.66,8723,13.8,10796,17.08,2420,3.83,7648,12.1,16716,26.45,2574,4.07,510.2
83,E07000043,"""North Devon""",2020,"""South West""",77378,536,0.69,18613,24.05,11157,14.42,13288,17.17,3663,4.73,9616,12.43,17732,22.92,3309,4.28,499.9
83,E07000043,"""North Devon""",2025,"""South West""",77378,544,0.7,18613,24.05,11157,14.42,13288,17.17,3663,4.73,9616,12.43,17732,22.92,3309,4.28,499.9
83,E07000043,"""North Devon""",2030,"""South West""",77378,545,0.7,18613,24.05,11157,14.42,13288,17.17,3663,4.73,9616,12.43,17732,22.92,3309,4.28,499.9
83,E07000043,"""North Devon""",2035,"""South West""",77378,544,0.7,18613,24.05,11157,14.42,13288,17.17,3663,4.73,9616,12.43,17732,22.92,3309,4.28,691.4
90,E07000043,"""North Devon""",2040,"""South West""",77378,548,0.71,18613,24.05,11157,14.42,13288,17.17,3663,4.73,9616,12.43,17732,22.92,3309,4.28,499.9
90,E07000050,"""North Dorset""",2020,"""South West""",56230,397,0.71,11219,19.95,7989,14.21,10020,17.82,2312,4.11,7058,12.55,15137,26.92,2495,4.44,426.9
90,E07000050,"""North Dorset""",2025,"""South West""",56230,392,0.7,11219,19.95,7989,14.21,10020,17.82,2312,4.11,7058,12.55,15137,26.92,2495,4.44,426.9
90,E07000050,"""North Dorset""",2030,"""South West""",56230,384,0.68,11219,19.95,7989,14.21,10020,17.82,2312,4.11,7058,12.55,15137,26.92,2495,4.44,426.9
90,E07000050,"""North Dorset""",2035,"""South West""",56230,377,0.67,11219,19.95,7989,14.21,10020,17.82,2312,4.11,7058,12.55,15137,26.92,2495,4.44,539.7
78,E07000050,"""North Dorset""",2040,"""South West""",56230,372,0.66,11219,19.95,7989,14.21,10020,17.82,2312,4.11,7058,12.55,15137,26.92,2495,4.44,426.9
24,E06000024,"""North Somerset""",2020,"""South West""",165914,1189,0.72,32539,19.61,22752,13.71,28542,17.2,7247,4.37,21012,12.66,47041,28.35,6781,4.09,440.4
24,E06000024,"""North Somerset""",2025,"""South West""",165914,"1,217",0.73,32539,19.61,22752,13.71,28542,17.2,7247,4.37,21012,12.66,47041,28.35,6781,4.09,440.4
24,E06000024,"""North Somerset""",2030,"""South West""",165914,"1,241",0.75,32539,19.61,22752,13.71,28542,17.2,7247,4.37,21012,12.66,47041,28.35,6781,4.09,440.4
24,E06000024,"""North Somerset""",2035,"""South West""",165914,"1,259",0.76,32539,19.61,22752,13.71,28542,17.2,7247,4.37,21012,12.66,47041,28.35,6781,4.09,603.5
278,E06000024,"""North Somerset""",2040,"""South West""",165914,"1,286",0.78,32539,19.61,22752,13.71,28542,17.2,7247,4.37,21012,12.66,47041,28.35,6781,4.09,440.4
25,E06000025,"""South Gloucestershire""",2020,"""South West""",212837,1748,0.82,39618,18.61,31661,14.88,35490,16.67,11435,5.37,29111,13.68,56805,26.69,8717,4.1,634.9
25,E06000025,"""South Gloucestershire""",2025,"""South West""",212837,"1,829",0.86,39618,18.61,31661,14.88,35490,16.67,11435,5.37,29111,13.68,56805,26.69,8717,4.1,634.9
25,E06000025,"""South Gloucestershire""",2030,"""South West""",212837,"1,893",0.89,39618,18.61,31661,14.88,35490,16.67,11435,5.37,29111,13.68,56805,26.69,8717,4.1,634.9
25,E06000025,"""South Gloucestershire""",2035,"""South West""",212837,"1,958",0.92,39618,18.61,31661,14.88,35490,16.67,11435,5.37,29111,13.68,56805,26.69,8717,4.1,638.1
84,E06000025,"""South Gloucestershire""",2040,"""South West""",212837,"2,024",0.95,39618,18.61,31661,14.88,35490,16.67,11435,5.37,29111,13.68,56805,26.69,8717,4.1,634.9
84,E07000044,"""South Hams""",2020,"""South West""",69868,455,0.65,12047,17.24,8433,12.07,11361,16.26,3044,4.36,8456,12.1,23946,34.27,2581,3.69,555
84,E07000044,"""South Hams""",2025,"""South West""",69868,460,0.66,12047,17.24,8433,12.07,11361,16.26,3044,4.36,8456,12.1,23946,34.27,2581,3.69,555
84,E07000044,"""South Hams""",2030,"""South West""",69868,459,0.66,12047,17.24,8433,12.07,11361,16.26,3044,4.36,8456,12.1,23946,34.27,2581,3.69,555
84,E07000044,"""South Hams""",2035,"""South West""",69868,457,0.65,12047,17.24,8433,12.07,11361,16.26,3044,4.36,8456,12.1,23946,34.27,2581,3.69,617
169,E07000044,"""South Hams""",2040,"""South West""",69868,465,0.67,12047,17.24,8433,12.07,11361,16.26,3044,4.36,8456,12.1,23946,34.27,2581,3.69,555
207,E07000189,"""South Somerset""",2020,"""South West""",132625,923,0.7,29089,21.93,18212,13.73,22503,16.97,6922,5.22,16481,12.43,33228,25.05,6190,4.67,519.1
207,E07000189,"""South Somerset""",2025,"""South West""",132625,906,0.68,29089,21.93,18212,13.73,22503,16.97,6922,5.22,16481,12.43,33228,25.05,6190,4.67,519.1
207,E07000189,"""South Somerset""",2030,"""South West""",132625,890,0.67,29089,21.93,18212,13.73,22503,16.97,6922,5.22,16481,12.43,33228,25.05,6190,4.67,519.1
207,E07000189,"""South Somerset""",2035,"""South West""",132625,872,0.66,29089,21.93,18212,13.73,22503,16.97,6922,5.22,16481,12.43,33228,25.05,6190,4.67,472.5
214,E07000189,"""South Somerset""",2040,"""South West""",132625,862,0.65,29089,21.93,18212,13.73,22503,16.97,6922,5.22,16481,12.43,33228,25.05,6190,4.67,519.1
208,E07000190,"""Taunton Deane""",2020,"""South West""",90109,420,0.47,18510,20.54,11674,12.96,16101,17.87,3295,3.66,11068,12.28,25348,28.13,4113,4.56,735.2
208,E07000190,"""Taunton Deane""",2025,"""South West""",90109,432,0.48,18510,20.54,11674,12.96,16101,17.87,3295,3.66,11068,12.28,25348,28.13,4113,4.56,735.2
208,E07000190,"""Taunton Deane""",2030,"""South West""",90109,436,0.48,18510,20.54,11674,12.96,16101,17.87,3295,3.66,11068,12.28,25348,28.13,4113,4.56,735.2
208,E07000190,"""Taunton Deane""",2035,"""South West""",90109,436,0.48,18510,20.54,11674,12.96,16101,17.87,3295,3.66,11068,12.28,25348,28.13,4113,4.56,492
20,E07000190,"""Taunton Deane""",2040,"""South West""",90109,442,0.49,18510,20.54,11674,12.96,16101,17.87,3295,3.66,11068,12.28,25348,28.13,4113,4.56,735.2
92,E07000052,"""West Dorset""",2020,"""South West""",83536,396,0.47,16801,20.11,10494,12.56,13761,16.47,3674,4.4,9875,11.82,25691,30.75,3240,3.88,505.2
92,E07000052,"""West Dorset""",2025,"""South West""",83536,392,0.47,16801,20.11,10494,12.56,13761,16.47,3674,4.4,9875,11.82,25691,30.75,3240,3.88,505.2
92,E07000052,"""West Dorset""",2030,"""South West""",83536,384,0.46,16801,20.11,10494,12.56,13761,16.47,3674,4.4,9875,11.82,25691,30.75,3240,3.88,505.2
92,E07000052,"""West Dorset""",2035,"""South West""",83536,377,0.45,16801,20.11,10494,12.56,13761,16.47,3674,4.4,9875,11.82,25691,30.75,3240,3.88,520.4
156,E07000052,"""West Dorset""",2040,"""South West""",83536,372,0.45,16801,20.11,10494,12.56,13761,16.47,3674,4.4,9875,11.82,25691,30.75,3240,3.88,505.2
209,E07000191,"""West Somerset""",2020,"""South West""",29844,420,1.41,7403,24.81,4066,13.62,4989,16.72,1195,4,3189,10.69,7415,24.85,1587,5.32,561.7
209,E07000191,"""West Somerset""",2025,"""South West""",29844,432,1.45,7403,24.81,4066,13.62,4989,16.72,1195,4,3189,10.69,7415,24.85,1587,5.32,561.7
209,E07000191,"""West Somerset""",2030,"""South West""",29844,436,1.46,7403,24.81,4066,13.62,4989,16.72,1195,4,3189,10.69,7415,24.85,1587,5.32,561.7
209,E07000191,"""West Somerset""",2035,"""South West""",29844,436,1.46,7403,24.81,4066,13.62,4989,16.72,1195,4,3189,10.69,7415,24.85,1587,5.32,483.7
93,E07000191,"""West Somerset""",2040,"""South West""",29844,442,1.48,7403,24.81,4066,13.62,4989,16.72,1195,4,3189,10.69,7415,24.85,1587,5.32,561.7
93,E07000053,"""Weymouth and Portland""",2020,"""South West""",54306,398,0.73,12236,22.53,8094,14.9,9447,17.4,2804,5.16,7102,13.08,12207,22.48,2416,4.45,508.7
93,E07000053,"""Weymouth and Portland""",2025,"""South West""",54306,392,0.72,12236,22.53,8094,14.9,9447,17.4,2804,5.16,7102,13.08,12207,22.48,2416,4.45,508.7
93,E07000053,"""Weymouth and Portland""",2030,"""South West""",54306,383,0.71,12236,22.53,8094,14.9,9447,17.4,2804,5.16,7102,13.08,12207,22.48,2416,4.45,508.7
93,E07000053,"""Weymouth and Portland""",2035,"""South West""",54306,377,0.69,12236,22.53,8094,14.9,9447,17.4,2804,5.16,7102,13.08,12207,22.48,2416,4.45,535.3
40,E07000053,"""Weymouth and Portland""",2040,"""South West""",54306,372,0.69,12236,22.53,8094,14.9,9447,17.4,2804,5.16,7102,13.08,12207,22.48,2416,4.45,508.7
28,E06000028,Bournemouth,2020,"""South West""",155224,793,0.51,29720,19.15,20105,12.95,24086,15.52,5852,3.77,24412,15.73,40951,26.38,10098,6.51,407.6
28,E06000028,Bournemouth,2025,"""South West""",155224,790,0.51,29720,19.15,20105,12.95,24086,15.52,5852,3.77,24412,15.73,40951,26.38,10098,6.51,407.6
28,E06000028,Bournemouth,2030,"""South West""",155224,790,0.51,29720,19.15,20105,12.95,24086,15.52,5852,3.77,24412,15.73,40951,26.38,10098,6.51,407.6
