objectid,lau115cd,lau115nm,year,region,population,""" % no qualification""","""% level 1 qualification""",""" % level 2 qualification""",""" % apprenticeship""",""" % level 3 qualification",""" % level 4 and above""",""" % other qualifications"
72,E07000032,"""Amber Valley""",2020,"""East Midlands""",100841,26.99,13.87,15.5,4.64,11.99,23.15,3.86
,E07000004,"""Aylesbury Vale""",2020,"""South East""",138567,17.36,13.78,16.5,3.62,12.19,31.96,4.58
295,E09000002,"""Barking and Dagenham""",2020,London,137613,27.9,15.19,14.98,2.1,9.27,20.87,9.69
67,E07000027,"""Barrow-in-Furness""",2020,"""North West""",56796,25.39,13.57,15.69,9.21,13.72,18.99,3.43
117,E07000084,"""Basingstoke and Deane""",2020,"""South East""",133947,17.34,14.67,16.36,3.85,12.62,30.45,4.71
22,E06000022,"""Bath and North East Somerset""",2020,"""South West""",146439,17.17,11.05,14.22,3.74,16.45,33.4,3.97
8,E06000008,"""Blackburn with Darwen""",2020,"""North West""",113122,28.72,14.33,15.22,3.91,11.42,19.82,6.58
36,E06000036,"""Bracknell Forest""",2020,"""South East""",89743,16.31,15.33,16.93,3.38,12.69,30.31,5.06
43,E06000043,"""Brighton and Hove""",2020,"""South East""",229024,16.06,11,12.56,2.12,15.98,36.86,5.42
23,E06000023,"""Bristol, City of""",2020,"""South West""",349653,20.16,11.87,12.75,2.93,14.59,32.78,4.92
210,E07000192,"""Cannock Chase""",2020,"""West Midlands""",79027,28.19,16.3,17.76,3.62,12.68,17.22,4.23
102,E07000069,"""Castle Point""",2020,"""East of England""",73142,29.92,18.02,17.77,4.64,10.64,14.62,4.4
55,E06000056,"""Central Bedfordshire""",2020,"""East of England""",204602,19.38,14.95,16.97,4.7,12.64,27.27,4.09
48,E06000049,"""Cheshire East""",2020,"""North East""",304374,19.65,12.1,15.96,4.07,12.44,31.95,3.83
49,E06000050,"""Cheshire West and Chester""",2020,"""North East""",271473,20.97,13.26,15.71,3.95,12.91,29.36,3.83
294,E09000001,"""City of London""",2020,London,6755,6.72,4.31,6.59,0.7,7.17,68.36,6.16
47,E06000047,"""County Durham""",2020,"""North East""",425258,27.5,13.41,15.97,4.16,13.63,21.46,3.87
75,E07000035,"""Derbyshire Dales""",2020,"""East Midlands""",59299,21.54,11.95,14.96,3.36,11.08,33.42,3.69
62,E07000009,"""East Cambridgeshire""",2020,"""East of England""",67481,20.93,13.11,15.64,4.34,11.41,29.02,5.55
80,E07000040,"""East Devon""",2020,"""South West""",112002,21.07,13.08,16.97,4.13,11.35,29.08,4.32
89,E07000049,"""East Dorset""",2020,"""South West""",73557,21.52,13.45,16.38,5.28,11.56,27.68,4.12
118,E07000085,"""East Hampshire""",2020,"""South East""",94019,16.87,12.46,16.63,3.55,12.75,33.87,3.87
256,E07000242,"""East Hertfordshire""",2020,"""East of England""",110139,17.21,13.52,16.74,3.16,11.93,33.47,3.95
166,E07000137,"""East Lindsey""",2020,"""East Midlands""",115418,32.62,14.17,15.65,4.26,10.46,18.06,4.78
181,E07000152,"""East Northamptonshire""",2020,"""East Midlands""",69576,22.29,15.28,17.57,4.43,11.81,24.24,4.38
11,E06000011,"""East Riding of Yorkshire""",2020,"""Yorkshire and The Humber""",278333,23.37,13.02,16.21,5.05,12.1,25.87,4.39
211,E07000193,"""East Staffordshire""",2020,"""West Midlands""",91821,24.69,14.18,16.12,4.19,11.71,23.38,5.73
105,E07000072,"""Epping Forest""",2020,"""East of England""",101708,23.95,15.57,16.27,3.31,11.07,25.34,4.49
226,E07000208,"""Epsom and Ewell""",2020,"""South East""",60371,15.83,12.25,15.74,2.85,12.06,35.98,5.29
219,E07000201,"""Forest Heath""",2020,"""East of England""",48684,25.69,13.55,14.16,4.03,10.28,19.15,13.15
113,E07000080,"""Forest of Dean""",2020,"""South West""",67947,24.52,14.35,16.8,4.48,11.96,23.97,3.91
174,E07000145,"""Great Yarmouth""",2020,"""East of England""",79748,32.81,15.71,16.11,4.68,10.56,14.21,5.92
306,E09000013,"""Hammersmith and Fulham""",2020,London,152863,12.77,7.02,8.33,1.16,10.67,49.56,10.5
19,E06000019,"""Herefordshire, County of""",2020,"""West Midlands""",151962,22.93,12.76,16.01,3.56,12,27.49,5.25
77,E07000037,"""High Peak""",2020,"""East Midlands""",74416,20.86,13.13,16.03,3.95,13.14,29.41,3.48
161,E07000132,"""Hinckley and Bosworth""",2020,"""East Midlands""",86475,24.39,14.27,16.07,4.79,12.41,24.06,4.01
46,E06000046,"""Isle of Wight""",2020,"""South East""",115589,24.29,14.59,16.78,5.02,12.22,22.63,4.46
52,E06000053,"""Isles of Scilly""",2020,"""South West""",1857,14.22,10.82,16.64,4.2,16.37,33.01,4.74
313,E09000020,"""Kensington and Chelsea""",2020,London,134267,10.09,5.76,7.88,0.71,10.02,52.68,12.86
175,E07000146,"""King's Lynn and West Norfolk""",2020,"""East of England""",122639,29.28,14.49,16.19,3.82,10.98,19.13,6.12
10,E06000010,"""Kingston upon Hull, City of""",2020,"""Yorkshire and The Humber""",208040,31.65,14.59,15.43,4.02,13.11,15.23,5.95
314,E09000021,"""Kingston upon Thames""",2020,London,129790,13.41,9.76,12.17,1.98,13.47,41.44,7.78
249,E07000235,"""Malvern Hills""",2020,"""West Midlands""",62219,20.31,11.18,15.49,3.83,11.36,33.93,3.89
82,E07000042,"""Mid Devon""",2020,"""South West""",63200,22.66,13.8,17.08,3.83,12.1,26.45,4.07
221,E07000203,"""Mid Suffolk""",2020,"""East of England""",78907,22.33,13.89,16.83,4.11,12.45,26.44,3.95
246,E07000228,"""Mid Sussex""",2020,"""South East""",112755,14.84,13.44,17.35,3.37,13.18,33.63,4.2
42,E06000042,"""Milton Keynes""",2020,"""South East""",193429,18.02,15.92,16.66,3.4,11.48,28.22,6.3
228,E07000210,"""Mole Valley""",2020,"""South East""",69580,15.97,11.68,16.09,2.82,11.35,37.94,4.15
124,E07000091,"""New Forest""",2020,"""South East""",147514,21.14,13.27,16.71,5.43,12.03,27.24,4.19
198,E07000175,"""Newark and Sherwood""",2020,"""East Midlands""",93957,25.06,14.29,16.06,4.04,11.89,24.16,4.51
277,E08000021,"""Newcastle upon Tyne""",2020,"""North East""",232203,23.64,11.3,12.51,3.41,17.08,27.16,4.89
213,E07000195,"""Newcastle-under-Lyme""",2020,"""West Midlands""",102813,26.78,12.74,15.66,3.87,14.47,22.49,4.01
83,E07000043,"""North Devon""",2020,"""South West""",77378,24.05,14.42,17.17,4.73,12.43,22.92,4.28
90,E07000050,"""North Dorset""",2020,"""South West""",56230,19.95,14.21,17.82,4.11,12.55,26.92,4.44
78,E07000038,"""North East Derbyshire""",2020,"""East Midlands""",82699,26.94,14.21,16.6,4.39,11.9,22.18,3.78
12,E06000012,"""North East Lincolnshire""",2020,"""Yorkshire and The Humber""",129377,29.53,16.09,17.78,4.64,10.82,16.21,4.93
131,E07000099,"""North Hertfordshire""",2020,"""East of England""",102388,17.99,13.17,15.39,3.48,11.36,34.42,4.19
168,E07000139,"""North Kesteven""",2020,"""East Midlands""",88700,21.75,13.79,17.26,4.38,13.17,25.43,4.22
13,E06000013,"""North Lincolnshire""",2020,"""Yorkshire and The Humber""",136105,26.18,15.8,16.75,4.88,11.69,19.53,5.17
176,E07000147,"""North Norfolk""",2020,"""East of England""",86830,27.45,14.09,16.25,4.71,10.52,22.26,4.72
24,E06000024,"""North Somerset""",2020,"""South West""",165914,19.61,13.71,17.2,4.37,12.66,28.35,4.09
278,E08000022,"""North Tyneside""",2020,"""North East""",165088,23.72,14.04,16.07,5.26,11.89,25.28,3.74
236,E07000218,"""North Warwickshire""",2020,"""West Midlands""",51049,27.92,15.28,16.75,4.1,11.91,19.78,4.27
163,E07000134,"""North West Leicestershire""",2020,"""East Midlands""",75791,25.98,13.18,15.36,4.52,12.42,24.28,4.27
237,E07000219,"""Nuneaton and Bedworth""",2020,"""West Midlands""",101244,28.04,15.63,16.36,4.77,11.62,18.57,5.02
164,E07000135,"""Oadby and Wigston""",2020,"""East Midlands""",46359,22.57,13.25,15.12,4.26,14.66,24.75,5.39
3,E06000003,"""Redcar and Cleveland""",2020,"""North East""",111011,28.42,13.46,16.42,5.73,13.13,18.93,3.91
229,E07000211,"""Reigate and Banstead""",2020,"""South East""",110725,16.58,13.17,16.57,2.92,12.01,33.96,4.78
153,E07000124,"""Ribble Valley""",2020,"""North West""",46552,18.33,11.12,15.31,5.02,12.55,33.98,3.7
320,E09000027,"""Richmond upon Thames""",2020,London,150052,10.61,7.38,10.61,1.54,10.61,53.04,6.22
141,E07000112,"""Shepway, Folkestone and Hythe""",2020,"""South East""",88760,24.67,14.92,17.47,3.82,11.92,21.77,5.42
59,E07000006,"""South Buckinhamshire""",2020,"""South East""",54201,16.52,11.8,14.75,3.44,11.13,36.86,5.5
65,E07000012,"""South Cambridgeshire""",2020,"""East of England""",119342,15.29,11.12,14.35,3.89,11.29,40.1,3.96
79,E07000039,"""South Derbyshire""",2020,"""East Midlands""",75910,22.01,14.06,16.62,4.83,12.83,25.95,3.7
25,E06000025,"""South Gloucestershire""",2020,"""South West""",212837,18.61,14.88,16.67,5.37,13.68,26.69,4.1
84,E07000044,"""South Hams""",2020,"""South West""",69868,17.24,12.07,16.26,4.36,12.1,34.27,3.69
169,E07000140,"""South Holland""",2020,"""East Midlands""",73354,30.85,15.26,16.45,3.69,10.03,15.79,7.92
170,E07000141,"""South Kesteven""",2020,"""East Midlands""",109085,21.64,13.84,17.17,4.59,12.35,25.64,4.76
71,E07000031,"""South Lakeland""",2020,"""North West""",87777,18.89,12,15.4,4.61,11.82,33.35,3.92
178,E07000149,"""South Norfolk""",2020,"""East of England""",101717,22.57,13.57,17.07,4.23,11.49,27.04,4.04
184,E07000155,"""South Northamptonshire""",2020,"""East Midlands""",68624,17.42,14,16.67,4.46,12.47,31.05,3.92
202,E07000179,"""South Oxfordshire""",2020,"""South East""",108232,16.47,12.13,14.89,3.8,11.95,36.71,4.04
155,E07000126,"""South Ribble""",2020,"""North West""",89163,20.34,13.5,16.63,5.79,13.73,26.4,3.61
207,E07000189,"""South Somerset""",2020,"""South West""",132625,21.93,13.73,16.97,5.22,12.43,25.05,4.67
214,E07000196,"""South Staffordshire""",2020,"""West Midlands""",90506,23.98,13.92,16.54,4.01,12.55,25.09,3.91
279,E08000023,"""South Tyneside""",2020,"""North East""",122200,27.98,14.57,16.21,6.12,12.01,19.24,3.88
33,E06000033,"""Southend-on-Sea""",2020,"""East of England""",140621,24.62,16.41,17.51,2.96,11.42,21.83,5.26
254,E07000240,"""St Albans""",2020,"""East of England""",110590,12.9,10,13.35,2.78,10.42,46.34,4.21
222,E07000204,"""St Edmundsbury""",2020,"""East of England""",90683,22.36,14.62,17.22,3.93,11.98,24.57,5.31
270,E08000013,"""St. Helens""",2020,"""North West""",143372,27.86,14.31,16.69,4.36,12.14,20.87,3.76
216,E07000198,"""Staffordshire Moorlands""",2020,"""West Midlands""",81106,26.58,12.83,16.03,4.15,12.26,23.74,4.4
4,E06000004,"""Stockton-on-Tees""",2020,"""North East""",154503,23.77,13.89,16.86,5.23,13.56,22.82,3.87
21,E06000021,"""Stoke-on-Trent""",2020,"""West Midlands""",200642,33.78,14.37,15.89,3.52,11.94,15.47,5.03
239,E07000221,"""Stratford-on-Avon""",2020,"""West Midlands""",100042,19.34,11.97,15.61,3.62,11.71,33.38,4.38
223,E07000205,"""Suffolk Coastal""",2020,"""East of England""",102401,21.09,13.46,16.68,4.12,11.31,28.98,4.36
232,E07000214,"""Surrey Heath""",2020,"""South East""",69302,14.99,13.5,16.29,3.46,12.23,34.47,5.06
208,E07000190,"""Taunton Deane""",2020,"""South West""",90109,20.54,12.96,17.87,3.66,12.28,28.13,4.56
20,E06000020,"""Telford and Wrekin""",2020,"""West Midlands""",132440,24.62,15.14,17.92,3.33,12.99,20.92,5.07
126,E07000093,"""Test Valley""",2020,"""South East""",94414,18.36,13.6,16.5,4.47,12.46,30.53,4.07
132,E07000102,"""Three Rivers""",2020,"""East of England""",69819,17.56,13.2,15.82,3.35,11.51,33.91,4.65
144,E07000115,"""Tonbridge and Malling""",2020,"""South East""",95821,19.97,15.03,17.68,4.04,12.15,27.1,4.02
323,E09000030,"""Tower Hamlets""",2020,London,203953,19.96,9.28,8.7,0.89,10.12,41.03,10.02
145,E07000116,"""Tunbridge Wells""",2020,"""South East""",91483,17.07,12.36,16.56,2.78,12.08,34.64,4.5
203,E07000180,"""Vale of White Horse""",2020,"""South East""",97867,16.68,11.81,14.62,4.05,11.53,37.21,4.09
324,E09000031,"""Waltham Forest""",2020,London,203131,20.81,12.27,12.72,1.72,10.01,29.99,12.48
255,E07000241,"""Welwyn Hatfield""",2020,"""East of England""",90369,17.21,13.05,14.99,3.17,15.73,30.01,5.85
37,E06000037,"""West Berkshire""",2020,"""South East""",122731,17.16,14.16,16.2,3.89,12.15,32.11,4.32
87,E07000047,"""West Devon""",2020,"""South West""",44652,20.33,12.92,16.84,3.9,11.88,30.03,4.11
92,E07000052,"""West Dorset""",2020,"""South West""",83536,20.11,12.56,16.47,4.4,11.82,30.75,3.88
156,E07000127,"""West Lancashire""",2020,"""North West""",90712,23.48,13.39,15.78,3.97,13.95,25.35,4.07
171,E07000142,"""West Lindsey""",2020,"""East Midlands""",73753,23,13.85,16.56,5.15,11.93,25.28,4.23
204,E07000181,"""West Oxfordshire""",2020,"""South East""",85312,17.65,13.27,15.78,3.93,12.32,32.91,4.14
209,E07000191,"""West Somerset""",2020,"""South West""",29844,24.81,13.62,16.72,4,10.69,24.85,5.32
93,E07000053,"""Weymouth and Portland""",2020,"""South West""",54306,22.53,14.9,17.4,5.16,13.08,22.48,4.45
40,E06000040,"""Windsor and Maidenhead""",2020,"""South East""",115900,15.65,11.6,14.4,3,11.16,38.4,5.8
253,E07000239,"""Wyre Forest""",2020,"""West Midlands""",81190,27.81,14.23,16.11,3.77,11.4,22.07,4.62
241,E07000223,Adur,2020,"""South East""",50579,25.58,15.94,16.46,4.36,11.18,21.99,4.49
66,E07000026,Allerdale,2020,"""North West""",80155,26.99,13.67,16.18,5.02,11.52,22.77,3.84
242,E07000224,Arun,2020,"""South East""",126164,24.86,14.16,16.77,3.98,11.58,22.77,5.87
193,E07000170,Ashfield,2020,"""East Midlands""",96698,31.38,16.39,16.44,4.32,12.02,15.09,4.35
134,E07000105,Ashford,2020,"""South East""",93411,21.17,15.61,17.81,3.86,12.02,24.63,4.9
218,E07000200,Babergh,2020,"""East of England""",71821,22.79,14.46,17.49,3.92,11.61,25.81,3.92
296,E09000003,Barnet,2020,London,282152,15.54,9.65,12.06,1.34,10.19,40.34,10.89
273,E08000016,Barnsley,2020,"""Yorkshire and the Humber""",188335,32.33,14.29,16.22,4.1,11.33,17.38,4.35
99,E07000066,Basildon,2020,"""East of England""",139198,26.64,18.41,17.65,3.58,10.75,18.63,4.33
194,E07000171,Bassetlaw,2020,"""East Midlands""",92702,28.47,14.58,16.45,4.15,11.28,20.24,4.84
54,E06000055,Bedford,2020,"""East of England""",125871,20.37,13.75,15.2,3.92,11.82,28.14,6.79
297,E09000004,Bexley,2020,London,184431,22.97,16.84,17.73,3.77,11.57,21.77,5.36
281,E08000025,Birmingham,2020,"""West Midlands""",828363,28.23,13.3,13.76,2.13,13.03,22.98,6.58
158,E07000129,Blaby,2020,"""East Midlands""",76334,22.22,14.54,16.06,5.71,12.29,24.87,4.31
9,E06000009,Blackpool,2020,"""North West""",116699,31.33,15.53,17.13,4.19,11.61,15.51,4.7
73,E07000033,Bolsover,2020,"""East Midlands""",62192,32.89,15.31,16.39,3.71,11.36,15.84,4.5
258,E08000001,Bolton,2020,"""North West""",219710,26.35,14.18,15.81,4.28,12.02,22.16,5.21
165,E07000136,Boston,2020,"""East Midlands""",53275,32.7,14.46,15.25,3.28,9.3,15.13,9.88
28,E06000028,Bournemouth,2020,"""South West""",155224,19.15,12.95,15.52,3.77,15.73,26.38,6.51
288,E08000032,Bradford,2020,"""Yorkshire and the Humber""",400121,27.71,14.1,14.83,3.78,11.27,21.84,6.46
100,E07000067,Braintree,2020,"""East of England""",118098,22.83,16.53,18.13,3.9,11.98,22.2,4.43
172,E07000143,Breckland,2020,"""East of England""",107507,27.96,14.98,16.88,3.98,11.08,18.65,6.47
298,E09000005,Brent,2020,London,248458,19.21,10.35,10.85,1.23,9.73,33.25,15.38
101,E07000068,Brentwood,2020,"""East of England""",60115,19.38,14.21,17.18,3.29,11.42,30.68,3.84
173,E07000144,Broadland,2020,"""East of England""",103657,22.91,14.79,17.46,5.45,11.95,23.18,4.27
299,E09000006,Bromley,2020,London,248806,17.91,13.61,16.09,2.72,11.51,33.08,5.08
248,E07000234,Bromsgrove,2020,"""West Midlands""",77107,21.29,12.81,15.81,4.07,11.74,30.54,3.74
128,E07000095,Broxbourne,2020,"""East of England""",74850,25.55,17.72,17.2,3.66,11.22,19.23,5.42
195,E07000172,Broxtowe,2020,"""East Midlands""",90938,23.13,12.89,14.9,4.49,12.15,28.24,4.22
146,E07000117,Burnley,2020,"""North West""",69915,29.34,14.41,15.8,4.65,12.31,18.73,4.77
259,E08000002,Bury,2020,"""North West""",147935,22.56,14.08,17.18,3.54,12.31,25.68,4.65
289,E08000033,Calderdale,2020,"""Yorkshire and the Humber""",163645,23.8,13.64,16.2,4.88,12.27,24.98,4.24
61,E07000008,Cambridge,2020,"""East of England""",106007,11.89,6.88,8.64,1.91,16.93,47.33,6.43
300,E09000007,Camden,2020,London,184873,12.68,6.79,7.82,0.84,12.08,50.55,9.23
135,E07000106,Canterbury,2020,"""South East""",125971,20.46,11.77,14.33,3.34,17.56,27.3,5.24
68,E07000028,Carlisle,2020,"""North West""",89042,24.89,14.82,16.35,4.61,12.55,22.2,4.57
